text,sentimen
text,sentiment
serum kali pake serum pas kelas sma pake jerawat parah banget fungal acne bruntusan komedo full penuh wajah,Positif
beli yg ml serum dipake kondisi kulit lg fine fine few tiny bumps unfortunately langsung ngasih effect panas kulit dipake panas yg bikin itch,Negatif
rutin pake bulan-an muka cerah bersih skin barier gampang jerawat muka mulus gitu thanks,Positif
banget liat seliwer kalo serum bagus beli dehhh work banget minggu pake udah bikin cerah muka gak bikin lembab sih gak bikin kering yaa aman aman kal,Positif
suka banget gak harap nyata bikin cerah skin barrier gak gampang jerawat tesktur kulit halus repurchase kar,Positif
cobain jerawat review bilang bagus pakai asa panas kulit langsung nongol jerawat batu jerawat muncul emang,Negatif
something gagal bagus masuk suka cari cantik something pilih ragu membuktik,Positif
salah regimenku yg anjur dermatologist tekstur cair kental warna beninh mudah serap lengket kulit niacinami,Positif
serum andal banget udah rutin banget pake cocok serum enak texturenya gak cair gak kental mudah aplikasikanny cepet resap pas dipakeny gak lengket,Positif
serum niacinamide brand lokal coba tekstur kental mudah baur resap cepat mesti layer moisturizer gak ngasih efek melembabkan kulit lumayan membant,Positif
kulit oily berat nyerapnya efektivitas butuh ya say ofc aroma enak gak ganggu cari serum cerah,Negatif
paki retinol kolagen brand niacinamide nya bagus muka ku udah banyk repurchasednya combine niacinamide niacinamide retinol beli -com,Positif
pake serum launching cocok muncul kandung pake bikin bekas jerawat ilang udah gak pake pake yg gak bera,Positif
serum wajib bgt krn bantu bgt tipe kulit kyk yg bnyk bgt noda hitam bekas jerawat tekstur kental lengketaku pakai lbh dr hasil terlih,Positif
coba direkomendasiin cerah wajah coba si tekstur gampang serap wangi gak aneh pakai botol,Positif
udah pakai combo retinol pake bareng retinol trus pas bangun muka liat cerahalus kenyal rutin noda hitam wajah,Positif
beli muka sensitif nya normal sih gak iritasi efek lembab nya muka combine nyo,Netral
oke pakai gak bikin kulit cenderung jaga kondisi kulit tapiii pakai habis efek wow gitu loo cerah kulit gak improve ya,Positif
bagus sih aq suka cocok kulit ku kenyal bikin kerut pudar flek hitam jg paking jg aman cocok jebis kulitaman jd yg pke lngsung beli ya,Positif
sih cobain dont expect much orang banget gak cocok pake bruntusan gitu temen-temen onlen suka jujurly sih so so sih gak bikin br,Netral
pake sdh krn bkin kulit halus bekas jrwt jg pudar tp jg butuh jd sabar pakein jg ank yg smp kombinasi sm glow maker retinol jg cm ank pke retinol nyklo cpt pke,Positif
beli hopeless banget muka semu hitam bcs kerja extra kulit kusam belang bruntusan nyobain texturenya cair gel lumayan sticky primer make,Positif
pakai panas muncul bruntus jidat perih pikir kulit putus pake habi,Negatif
uda pake yg tp gatau somehow kulit works yg cepet pudarin pih nya yg gak ngasih efek yg jg kaya better coba yg du,Positif
favorit suka banget pakai ngilangi bekas jerawat bikin gak gampang beruntus nampak cerah muka gak kusam gak banjir minyak muka pokok neng banget pakai,Positif
serum udah kuhabisin botol bonus beli bundling serum serum emang niatin beli serum kentel tekstur serum udah coba sete,Netral
serum kandung yaa serum kadang basic serum layering serum retinol efek mantulita banget retinol bikin kering si,Positif
serum nya bagus banget suka sempet dapet free product serum bagus banget cocok serum nya enak melembabkan wajah harga jangkau recommend banget smapai mas,Positif
serum superduper bagus polllllll nampolll abissssssss serum bener-bener bikin glowing tekstur ringan gampang blend cepet serap niacinimide nya pake,Positif
sorry say gak cocok bgt bnyk banget yg cocok aroma wangi jeruk gitu tekstur lenget suka sih terusss pakenya malem tuh bikin berunt,Negatif
tektur cairrr bening gak bau enak cepet serap pake udah minggu asa cerah harga affordable banget gak bikin breakout surprisingly karna muka ku sensitive,Positif
bagus pake serum udah corona trs henti krim dokter krna gbsa beli offline jd hrs beli yg strugle bgt pilih sampe breakout parah akh,Positif
kali brand muncul tarik banget niacinamidenya karna kondisi kulit skin barrier rusak jerawat merah kusam bekas jerawat cobain serum cocok bgt skin barrier,Positif
