text,sentiment
"ini beneran adalah serum pertama aku. pertama kali pake serum itu pas aku masih kelas 1 SMA. awalnya aku pake ini buat jerawat aku yang dulu parah banget, fungal acne dan bruntusan dimana-mana, komedo juga full memenuhi wajah. setelah berbagai macam pertimbangan dan lihat youtube reviewnya suhay salim kalo ini adalah serum somethinc yang paling friendly ke semua tipe kulit akhirnya kebeli deh. awalnya dia bagus banget buat nyerahin wajah, item-item bekas jerawat juga gradually mulai membaik. tapi ternyataaa, yang 10% niacinimide ini ga fungal acne friendy guys. jadilah banyak juga numbuh jerawat kecil-kecil tapi aku tetap setia kan sama somethinc ini, makanya aku turunin persentase niacinnya, aju pake yang 5% dan yea it's better i guess. intinya kalo baru pemula serum jangan langsung yang tinggi kandungannnya, coba dari yang rendah aja dulu deh.",Positif
"Pertama beli yg 20ml karena kepo sama serum ini, dipake saat kondisi kulit lg fine fine aja cuma ada a few tiny bumps. Sekali pemakaian unfortunately langsung ngasih effect panas ke kulit aku waktu dipake, panas yg bikin itchy ke kulit. Belom nyerah sampe pemakaian kedua mulai muncul pimples dan redness yg bikin gatel parah huhu",Negatif
"Saya rutin pake yang somethinc 5% selama 3 bulan-an dan alhamdulillah mukaku jadi lebih cerahan, bersih dan memperbaiki skin barier jadi tidak gampang jerawatan muka jadi mulus gitu. thanks somethinc",Positif
"jadi sering banget liat seliweran kalo serum ini bagus, akhirnya beli dehhh, dan work banget di aku karena 3 minggu pake udah bikin cerah muka aku, tapi ga bikin lembab sih, dan ga bikin kering juga jadi yaa aman aman aja kalo mau lembab mungkin pake pelembabnya atau essence yg nge booster biar lembab, biar makin mantep hasilnya",Positif
Sukaa bgtt sama produk satu ini!! Awalnya ga berharap banyak tapi ternyata beneran bikin lebih cerah dan memperbaiki skin barrier. Jadi ga gampang jerawatan dan tesktur kulit jadi lebih halus. Pasti akan selalu repurchase karna serum terbaik yang pernah ku coba👍,Positif
"Awal cobain produk ini karena lagi jerawatan dan review di sini pada bilang bagus. Pertama pakai berasa panas di kulit, terus besoknya langsung nongol jerawat batu, jerawat yang kecil2 juga ikutan muncul. Aku kira itu emang efek awalnya, tapi hampir sebulan pakai makin banyak jerawat batu, bruntusan, dan bikin kulitku lebih nggak bagus dari sebelumnya 😭 nangis banget, nyesel udah cobain, mungkin kulitku emang nggak cocok sama produk ini kali ya. Tapi ini pertama kalinya jerawatan dan kempesnya lama banget 😭",Negatif
"produk something satupun tidak ada yang gagal semuanya sangat bagus, termasuk satu produk ini saya sangat menyukainya bagi kalian yang mencari produk kecantikan something pilihannya, jangan ragukan banyak yang sudah membuktikan termasuk saya sendiri",Positif
"Salah satu skincare tetap di regimenku. Konsentrasi 5% ini adalah yg dianjurkan oleh dermatologist, bukan berarti lebih tinggi lebih baik. Tekstur: cair kental warna beninh mudah menyerap dan tidak lengket di kulit. Niacinamide ini yg menjaga kulitku tetap cerah. Wangi: nggak ada wangi apa-apa menurutku dan ini yg aku suka. Packaging: untuk ukuran kecil sudah pakai pump, namun yg ukuran besar masih pakai dropper. Lebih prefer pakai pump karena lebih higienis. Harga: cukup affordable apalagi kalo dapatnya pas lagi promo.",Positif
"Serum andalan aku banget ini, udah rutin banget pake ini. Dan alhamdulillah cocok, serumnya enak texturenya gak terlalu cair dan gak terlalu kental, mudah di aplikasikanny terus cepet meresapnya juga. Pas dipakeny gak lengket gitu. Packagingnya juga bagus.",Positif
Ini serum Niacinamide pertama dari brand lokal yang aku coba. Teksturnya kental tapi mudah dibaurkan dan meresap dengan cepat. Mesti dilayer dengan moisturizer karena enggak ngasih efek melembabkan di kulitku. Lumayan membantu untuk memudarkan bekas jerawat yang baru.,Positif
